A,B,C,D,E,F
2,28,63,23,74,7
80,62,44,54,93,91
40,9,69,28,75,25
61,76,77,82,43,90
40,44,33,33,38,73
96,40,53,12,63,28
19,95,42,63,1,35
6,94,44,75,22,72
0,83,0,30,17,44
20,58,88,53,91,78
26,39,18,32,51,33
60,71,28,54,86,30
89,45,24,85,20,46
9,21,82,10,51,99
54,71,9,94,77,52
72,55,92,42,87,95
75,99,18,55,53,57
37,94,2,61,80,22
60,89,95,42,51,46
93,5,70,3,51,99
7,75,54,99,17,42
47,44,93,65,52,47
22,89,41,76,3,73
99,63,15,94,57,66
93,50,24,15,5,27
14,13,3,20,64,72
14,11,69,8,29,21
55,3,62,48,80,65
22,79,28,89,25,85
55,18,88,31,85,93
59,51,58,14,72,75
38,86,38,7,46,67
80,53,71,95,2,3
60,76,34,41,65,59
26,72,30,66,4,15
12,15,19,70,29,91
97,67,29,36,27,76
3,59,29,26,54,83
29,15,59,63,8,24
75,86,97,5,53,53
72,65,68,91,87,49
34,85,68,64,21,47
92,76,7,21,3,13
5,84,80,16,0,88
93,75,75,90,32,28
95,4,45,15,48,32
16,82,17,36,46,90
84,38,67,43,12,22
8,69,6,89,37,58
77,30,33,4,72,65
84,67,22,29,82,22
62,50,4,31,87,3
74,23,93,41,66,57
15,26,78,21,15,16
80,45,46,65,49,19
83,86,86,57,15,21
79,29,71,35,13,10
38,87,33,84,80,51
41,95,78,20,68,45
36,0,90,34,66,92
53,1,78,92,58,45
13,89,75,36,24,88
47,15,27,32,51,7
36,44,54,14,16,22
59,52,23,2,39,41
94,92,94,24,84,52
69,49,93,44,86,69
84,85,84,63,69,87
22,5,32,76,19,48
51,31,53,26,85,92
67,79,36,61,55,21
65,24,22,58,21,8
27,5,45,64,21,15
3,43,20,35,20,92
36,71,75,89,97,60
33,16,91,69,29,98
42,94,22,65,4,43
25,83,1,23,99,74
38,3,17,10,90,37
54,26,60,81,67,9
93,0,77,36,22,6
34,16,52,9,33,56
4,59,92,57,82,91
31,72,94,49,34,37
38,89,63,51,22,31
60,16,83,90,52,57
96,39,74,1,48,7
9,52,18,1,10,52
45,41,24,39,90,59
28,81,0,92,32,22
75,44,90,10,34,43
68,83,34,94,84,82
53,93,86,72,47,96
24,92,90,1,83,32
12,12,13,12,4,45
86,31,90,77,41,76
72,61,59,6,55,43
88,9,89,26,33,36
23,9,28,13,10,11
45,74,75,11,86,31
56,25,62,98,2,4
75,26,17,34,32,73
30,72,34,71,98,19
59,73,28,39,86,91
2,84,65,78,95,52
9,3,29,72,2,31
28,29,57,45,15,41
70,97,13,56,68,63
75,79,37,4,18,75
95,21,59,60,99,6
64,60,62,93,32,16
76,12,45,85,10,60
78,80,10,43,89,30
7,64,10,44,68,28
19,15,1,31,28,0
89,44,61,51,90,45
67,18,10,64,4,20
77,34,52,87,78,41
17,85,58,79,29,26
8,0,94,9,83,22
62,25,18,75,76,8
72,96,27,82,12,83
2,89,17,7,28,95
0,46,80,58,25,61
37,85,14,31,47,97
5,61,22,23,36,51
32,8,99,59,43,11
42,97,53,11,4,81
7,5,79,87,63,57
49,0,94,15,83,41
12,88,2,87,64,90
90,48,51,89,59,94
52,53,91,5,64,48
39,71,53,18,59,68
27,60,21,22,75,4
15,39,45,70,26,9
60,16,9,63,57,68
57,10,21,1,67,85
49,6,57,54,77,68
22,4,28,43,78,55
0,94,94,45,64,73
6,76,89,15,40,99
35,49,9,56,50,28
41,99,35,50,53,64
18,28,68,98,23,99
53,23,93,48,20,9
21,78,37,62,45,77
61,80,27,22,36,29
51,30,29,38,80,34
2,51,14,22,49,38
21,3,13,66,3,86
75,24,64,65,38,62
42,52,42,21,74,31
51,77,13,32,15,45
18,17,96,33,40,98
23,13,1,88,80,56
74,7,80,91,72,70
53,67,22,47,88,49
30,91,26,43,23,94
41,94,11,37,79,3
35,2,17,88,90,49
44,17,56,76,8,29
99,61,48,21,60,36
70,91,28,49,86,3
43,27,49,6,65,28
10,52,82,79,93,25
80,89,42,36,66,50
17,65,63,65,38,75
54,61,66,34,10,53
89,53,80,39,59,97
67,21,2,50,52,95
75,32,36,69,21,2
71,90,19,86,8,10
61,62,71,28,96,81
33,85,86,65,76,97
63,44,71,17,46,75
12,73,8,48,42,81
3,65,71,74,51,31
84,12,93,7,92,41
88,77,79,26,43,55
76,6,51,47,23,97
22,87,22,82,87,16
63,42,81,87,69,84
18,53,49,64,13,93
5,1,71,36,80,14
44,56,72,95,3,47
45,77,34,67,60,73
36,75,68,69,14,37
54,85,42,55,49,55
48,6,9,19,43,89
33,87,45,5,34,0
52,79,77,38,99,89
64,35,17,32,4,31
69,10,16,11,65,17
19,14,76,28,85,19
17,71,58,14,28,44
14,33,76,43,71,75
85,87,62,2,19,18
33,88,81,2,52,46
71,71,12,47,51,98
18,68,69,76,34,97
73,48,30,49,43,54
24,28,41,38,30,13
8,16,53,89,70,57
36,41,80,0,89,31
50,7,51,71,36,85
21,9,85,3,58,29
9,34,9,51,24,92
64,32,8,69,22,30
27,10,71,7,62,60
39,13,20,90,84,56
76,57,17,61,61,27
42,70,13,52,73,37
44,89,69,4,59,43
34,86,53,5,93,16
18,32,81,90,75,17
46,51,75,15,64,36
42,7,6,55,11,32
92,7,21,13,11,80
57,97,18,62,54,12
30,24,96,11,14,23
29,12,74,4,27,91
92,69,50,50,76,61
82,20,68,56,34,31
36,43,28,55,57,34
19,88,59,67,51,73
91,80,86,17,36,65
8,80,87,10,83,63
71,65,36,91,21,22
22,10,65,2,17,74
37,88,62,48,55,14
21,98,46,59,16,35
25,76,15,12,87,98
27,10,16,63,2,89
85,76,51,2,31,20
77,20,8,91,68,16
57,41,14,4,1,82
91,26,11,58,90,50
9,17,60,25,33,14
66,70,91,70,73,74
90,2,94,99,93,14
67,51,55,81,7,8
16,98,86,27,56,76
77,65,46,89,42,31
4,61,1,95,31,74
21,21,76,15,20,70
81,87,73,36,21,80
45,89,78,31,68,86
60,45,52,6,86,46
89,90,7,90,37,38
65,58,60,93,25,32
15,6,72,88,95,93
20,92,34,98,23,2
85,35,99,89,93,85
35,82,76,95,73,13
33,38,24,93,31,49
26,99,8,50,87,3
43,8,95,29,58,70
31,95,6,30,36,99
15,24,82,91,19,55
57,52,45,81,98,28
30,76,27,90,26,67
93,21,27,40,50,85
11,81,33,17,11,69
68,26,93,50,70,12
57,27,65,2,8,63
83,90,39,10,81,17
77,26,38,56,67,88
42,78,69,75,47,32
96,15,10,90,18,80
54,75,59,19,30,67
34,13,10,25,75,43
42,5,69,80,61,88
20,3,66,89,30,65
73,79,33,84,69,51
64,23,78,24,95,8
43,81,21,5,7,49
48,1,54,70,34,15
58,54,71,77,96,53
42,69,32,75,53,53
78,70,29,57,94,24
65,89,57,39,95,16
88,95,18,42,65,4
9,76,10,80,53,6
34,47,28,66,75,33
20,53,3,49,62,49
25,80,39,82,19,34
99,59,29,69,53,47
73,62,23,83,95,76
42,29,75,70,47,2
55,19,8,59,20,70
8,97,50,47,32,21
33,31,32,15,52,85
62,77,0,85,12,95
13,6,76,40,28,75
43,84,95,3,43,67
73,3,65,76,3,97
97,36,80,30,3,84
67,65,61,19,2,25
66,67,32,42,60,60
18,55,44,65,58,87
32,31,43,49,7,46
98,57,82,78,39,86
62,58,3,75,78,58
1,44,77,33,39,37
45,57,92,90,74,50
29,58,82,72,8,41
18,6,50,53,37,89
91,51,48,46,27,78
4,80,22,82,65,61
71,10,70,64,0,44
66,82,3,0,6,63
42,25,69,92,30,58
34,73,10,34,19,37
12,76,17,86,10,82
0,81,92,70,97,45
67,64,79,22,64,85
85,58,62,6,3,92
65,37,65,75,23,37
64,35,13,81,73,23
15,73,56,59,44,54
56,63,70,35,85,34
73,22,45,35,80,48
80,45,85,45,72,60
34,36,95,47,69,68
22,84,94,31,96,90
37,52,53,7,40,90
93,13,12,38,48,44
86,80,90,23,78,14
83,12,51,30,12,72
51,34,9,45,17,5
35,54,9,40,61,1
30,7,14,94,45,15
38,84,95,80,7,73
47,43,38,98,25,50
22,28,36,31,73,54
36,60,8,98,52,22
99,34,29,66,80,26
81,71,10,28,51,70
54,50,65,92,48,42
42,23,71,78,54,44
84,43,57,45,41,9
67,92,96,48,58,76
26,91,47,89,72,51
59,26,1,76,70,50
18,12,73,89,42,79
86,79,22,43,24,63
4,43,8,0,91,66
77,69,10,24,58,82
27,69,8,29,45,30
31,16,42,56,5,36
35,91,67,58,86,91
73,43,34,81,95,77
0,24,47,10,1,5
44,28,75,52,57,72
34,88,88,28,44,46
64,80,89,32,90,76
75,63,71,10,97,66
39,49,43,38,59,44
44,3,72,71,7,30
95,41,18,36,21,15
82,85,95,71,69,37
99,97,52,22,7,49
89,98,50,32,37,61
28,33,64,0,56,23
82,51,16,53,87,37
68,21,75,15,93,96
52,44,93,4,67,52
6,8,51,56,40,40
18,68,73,34,20,81
10,3,84,78,56,72
68,24,45,43,91,38
91,43,35,85,99,2
89,57,10,92,66,2
32,36,22,57,70,42
38,32,97,23,11,53
47,79,29,92,74,72
83,65,67,18,2,67
72,92,76,82,84,42
84,17,78,58,26,1
52,65,85,50,40,96
55,39,27,85,31,53
57,66,19,25,36,21
44,8,65,72,42,50
15,78,19,45,36,45
98,89,62,84,39,2
32,94,41,12,31,25
65,41,43,36,18,80
10,14,88,75,86,83
25,53,61,44,51,98
42,49,39,4,85,78
59,70,24,0,34,8
77,99,1,21,36,19
1,98,85,41,73,71
76,99,77,38,95,28
36,37,29,75,42,67
5,53,37,81,53,71
89,83,22,42,4,10
61,57,8,46,50,82
70,27,33,47,65,28
27,53,18,56,80,12
23,85,65,12,18,70
35,60,53,58,2,9
68,16,66,29,62,69
11,84,96,96,83,13
76,10,66,94,67,98
58,42,83,75,55,53
46,90,13,51,0,16
61,69,32,27,50,46
48,13,83,44,9,66
9,85,77,75,32,96
25,42,90,8,18,45
14,16,88,27,67,88
95,28,9,79,8,59
26,56,72,61,53,33
27,62,71,56,90,3
52,15,97,43,76,15
40,90,31,80,69,51
21,65,79,82,44,39
42,22,48,66,83,1
52,63,15,23,19,5
78,24,73,75,19,1
91,11,91,74,92,12
77,13,77,57,95,74
48,89,48,96,8,32
49,60,95,65,35,14
22,13,90,47,88,9
48,31,21,91,58,13
4,35,78,33,44,25
59,93,15,8,41,75
92,43,87,39,8,22
5,82,35,96,82,75
5,30,7,26,74,17
91,30,52,21,15,97
47,75,42,14,35,35
41,27,78,28,66,38
50,23,21,37,19,55
64,77,85,23,55,11
40,47,41,93,20,57
42,67,32,36,33,19
71,74,98,50,2,16
88,4,39,61,93,59
16,58,36,54,81,91
65,74,90,59,19,11
16,13,30,0,49,64
19,72,90,17,74,93
33,15,49,72,28,95
83,97,5,71,51,38
63,68,12,5,27,31
16,95,44,47,95,45
63,66,70,53,35,44
98,20,59,0,45,88
95,28,85,0,0,88
38,15,56,51,20,36
34,37,31,31,36,79
28,51,97,98,4,33
43,55,5,54,55,50
42,2,31,79,2,31
67,92,98,76,95,18
64,30,7,47,13,95
78,41,46,76,92,3
61,87,10,66,41,65
17,36,67,0,15,21
83,35,13,81,63,9
51,79,91,59,26,4
6,57,97,5,33,41
8,46,28,18,12,70
35,81,58,54,81,73
75,64,60,88,97,75
49,49,54,40,60,33
96,66,42,46,23,27
87,83,73,68,53,37
38,88,19,48,42,52
73,69,69,34,10,66
61,59,67,68,52,27
53,48,46,95,46,21
22,86,5,95,54,58
84,44,47,55,92,41
8,65,63,29,51,73
47,13,32,15,81,36
94,34,85,92,81,83
14,3,69,19,50,23
29,34,19,28,90,11
22,50,77,85,79,80
58,78,93,42,93,26
79,40,12,16,32,93
99,98,48,21,69,50
44,99,37,16,27,79
27,49,29,56,86,60
37,44,38,82,39,84
61,18,24,73,34,8
19,85,59,19,6,28
70,3,79,7,19,59
86,98,60,67,55,47
27,44,43,17,78,82
1,39,0,77,65,86
38,36,72,97,55,30
25,77,33,57,36,52
16,22,51,76,41,58
23,20,54,19,38,84
1,91,76,54,21,93
40,59,29,64,56,36
95,33,14,28,90,50
33,6,25,36,35,66
46,10,39,52,29,77
36,31,20,64,85,41
57,77,52,86,42,8
75,37,42,89,65,84
91,50,91,16,86,78
35,32,88,74,84,18
3,73,1,75,37,86
17,95,63,69,33,5
30,8,94,24,49,12
8,41,62,51,57,49
29,44,81,18,18,18
88,73,91,89,49,28
27,66,23,90,87,9
48,69,17,42,93,67
6,2,8,69,5,17
18,35,62,51,5,32
21,93,6,12,34,55
93,61,73,16,3,12
77,51,82,95,46,27
14,52,81,74,73,87
91,91,22,5,95,79
38,16,24,96,81,58
51,74,71,76,42,74
88,20,78,22,15,24
50,81,28,31,55,2
18,46,45,92,4,92
23,94,61,47,90,42
57,93,68,28,69,10
55,9,30,33,32,97
9,82,78,89,13,85
91,84,32,89,76,88
81,0,82,94,99,72
88,57,17,56,37,86
67,92,95,49,77,27
99,86,61,29,76,75
15,19,59,99,60,87
87,94,39,21,88,39
93,77,96,62,85,85
48,52,78,95,54,7
75,5,94,36,86,22
11,1,93,22,52,54
62,91,48,1,12,88
40,57,65,36,19,51
74,19,55,52,15,61
11,90,18,5,26,5
79,90,58,73,64,11
79,26,54,79,28,67
67,68,24,85,57,96
88,31,15,95,35,30
9,46,72,27,4,99
84,83,41,43,8,5
6,87,32,60,66,60
79,86,28,56,23,85
52,11,68,19,58,3
50,67,2,74,47,6
25,31,89,66,26,50
72,32,37,4,45,56
16,76,94,44,32,17
82,36,80,50,56,38
6,58,6,8,32,5
14,58,36,55,76,63
5,48,47,95,4,44
3,20,73,97,17,5
14,99,94,94,1,2
84,59,60,42,67,44
47,33,54,84,89,31
99,46,31,98,93,36
43,96,8,68,93,25
73,59,76,19,5,30
21,90,89,33,32,9
30,80,42,84,16,83
67,67,82,99,65,75
87,60,72,95,28,17
73,54,29,1,73,86
31,47,76,73,80,61
82,10,93,76,47,61
12,14,28,94,65,93
21,52,6,93,0,34
63,25,40,92,26,14
78,10,13,7,83,45
20,17,56,65,45,55
26,57,69,6,3,35
51,25,39,57,70,39
44,33,64,84,77,43
50,8,53,63,67,88
9,39,57,17,4,2
72,82,60,93,88,63
28,39,40,68,97,11
59,93,96,76,77,74
19,80,34,24,43,1
12,4,40,21,73,96
23,45,78,35,39,66
99,19,5,39,87,54
2,99,99,99,75,77
73,94,57,59,18,52
12,82,9,52,3,82
48,78,80,78,14,19
44,65,38,1,56,78
8,59,29,7,58,4
36,83,98,45,42,68
50,54,2,59,58,57
93,58,35,73,36,1
44,32,66,35,85,23
65,93,34,94,53,92
98,89,27,96,87,69
16,37,75,18,48,85
27,41,43,62,15,31
16,11,63,82,46,0
57,11,94,91,5,99
83,3,40,62,51,27
31,19,16,58,89,64
43,16,58,38,31,25
69,47,36,84,29,83
85,87,46,31,30,52
82,66,7,22,28,11
2,12,30,70,70,20
35,14,88,45,4,19
70,74,66,58,10,48
93,47,87,40,30,17
44,12,35,3,35,64
14,89,76,97,59,46
17,46,12,5,91,17
77,13,43,95,24,5
43,17,53,82,9,83
52,5,96,87,9,83
51,23,24,27,20,83
26,89,30,90,47,73
59,24,39,54,71,63
60,15,32,13,49,42
48,1,47,96,89,56
79,92,32,3,72,4
39,50,46,21,40,93
46,52,69,85,6,40
0,66,7,33,31,9
27,32,10,26,28,51
35,60,44,67,15,68
23,54,18,69,27,58
14,74,10,35,11,69
28,12,35,87,97,19
96,76,51,7,2,31
10,37,91,6,56,7
74,32,13,92,53,41
3,68,67,65,3,78
34,31,42,70,71,91
41,67,19,44,26,22
75,37,11,67,43,20
26,70,52,91,62,5
32,17,25,51,83,81
30,17,64,24,39,35
68,80,3,87,24,29
61,52,18,73,19,14
45,97,84,97,88,98
54,73,16,32,24,99
13,6,16,29,31,8
65,51,40,20,38,65
49,0,17,20,25,88
34,70,85,70,19,73
68,25,46,84,57,23
83,22,29,52,52,12
60,17,63,0,37,54
17,38,54,86,10,79
26,44,1,11,14,20
37,35,45,35,19,55
58,55,77,40,59,81
52,71,98,68,23,87
22,41,78,28,79,88
59,6,85,60,69,51
32,58,86,77,46,58
84,56,13,14,96,72
95,1,43,94,69,18
33,43,59,11,71,91
52,30,49,37,90,70
88,22,81,75,51,27
33,88,35,98,2,84
22,97,85,17,43,6
35,77,1,47,40,72
38,92,2,39,81,44
9,70,18,90,97,21
69,82,9,5,80,11
89,54,61,26,71,4
32,6,33,33,53,74
57,43,18,11,34,0
55,44,70,25,86,19
46,56,1,8,61,33
71,50,87,32,28,10
37,60,68,70,45,22
96,54,17,15,65,52
15,72,48,37,97,34
56,95,90,9,55,3
42,27,5,81,59,33
43,48,45,11,19,42
85,67,96,55,82,61
7,97,33,7,34,82
41,90,30,84,51,37
87,45,64,45,26,76
78,21,76,24,33,47
66,18,15,15,73,97
76,32,95,62,39,81
96,33,24,78,17,75
16,56,21,80,1,99
8,32,21,85,8,6
32,74,24,47,41,50
97,18,34,44,32,26
25,28,59,49,7,28
25,75,84,98,7,38
97,16,70,70,53,78
76,37,4,53,37,98
3,34,16,89,78,0
15,55,80,74,5,39
2,82,14,39,80,22
29,29,90,51,0,95
81,28,32,37,81,69
35,36,55,3,26,85
55,41,41,36,16,46
75,70,80,42,61,12
64,42,41,6,45,93
1,26,22,33,16,55
55,51,92,62,7,18
48,62,59,89,98,27
87,26,50,67,68,11
79,84,6,72,90,51
18,91,78,92,76,94
47,83,97,39,46,4
9,46,19,69,35,69
96,74,95,46,41,63
10,72,47,16,96,89
19,66,32,97,58,9
43,58,44,93,49,42
49,59,88,68,28,75
38,76,49,85,75,42
49,85,66,48,53,63
38,72,29,70,22,40
31,17,50,28,10,99
70,12,58,11,80,38
86,70,15,36,56,90
30,57,27,97,57,32
12,95,4,93,18,78
33,1,96,83,81,6
35,52,70,93,63,51
32,49,73,99,37,81
41,20,38,20,17,96
52,29,43,8,22,13
87,8,67,83,43,48
41,78,0,12,24,15
15,8,17,40,7,6
22,0,26,60,20,95
8,24,24,52,32,99
17,19,59,84,54,54
33,48,33,85,12,9
53,79,17,70,19,76
76,41,28,55,54,48
50,14,72,27,18,56
78,36,28,37,72,34
91,57,82,76,43,46
85,48,77,54,18,97
30,46,90,58,1,96
58,4,11,82,31,29
39,9,65,67,98,38
1,41,95,36,18,90
34,55,38,12,10,8
61,92,55,51,3,8
0,13,12,11,96,95
40,87,56,58,54,6
96,7,48,43,95,18
86,82,73,76,46,35
85,7,80,92,10,83
0,10,48,65,21,44
12,14,31,69,72,37
75,20,97,75,63,44
93,1,26,19,78,24
54,63,31,86,7,94
21,7,4,70,24,78
66,37,92,50,58,16
87,85,36,36,61,51
33,6,53,11,25,31
36,32,46,67,18,53
13,40,12,18,62,37
48,28,26,92,78,84
8,18,21,44,54,82
95,87,89,0,51,66
83,87,98,29,6,17
34,20,9,47,38,71
36,38,99,14,30,78
98,38,48,71,34,2
54,81,42,95,82,93
61,65,32,12,47,38
81,81,58,90,80,48
13,68,86,12,82,68
42,32,58,90,4,92
45,10,74,39,5,8
84,18,25,16,30,72
54,11,6,65,53,86
13,66,7,52,31,89
72,25,22,31,68,78
23,13,88,49,4,93
9,88,63,35,56,94
59,10,57,65,27,11
4,93,77,11,45,8
52,69,86,26,0,54
4,76,19,44,77,23
89,87,63,53,74,19
47,33,81,4,99,9
67,55,2,45,18,99
5,70,68,91,97,69
45,53,97,16,98,74
39,87,61,2,40,35
73,39,21,55,96,72
16,63,27,18,60,45
